User ID,Date/Time,Device No.,Status
65,12/28/24 18:07,1,1
65,12/28/24 18:07,1,1
65,12/29/24 6:03,1,0
65,12/29/24 6:03,1,0
65,12/29/24 6:03,1,0
65,12/29/24 18:00,1,1
65,12/29/24 18:00,1,1
65,12/29/24 18:00,1,1
65,1/2/25 17:51,1,0
65,1/2/25 17:51,1,0
65,1/2/25 17:51,1,0
65,1/3/25 6:00,1,1
65,1/3/25 6:00,1,1
65,1/3/25 6:00,1,1
65,1/3/25 17:56,1,0
65,1/3/25 17:56,1,0
65,1/3/25 17:56,1,0
65,1/3/25 17:56,1,0
65,1/4/25 6:11,1,1
65,1/4/25 6:11,1,1
65,1/4/25 6:11,1,1
65,1/4/25 17:53,1,2
65,1/4/25 17:53,1,0
65,1/4/25 17:53,1,0
65,1/4/25 17:53,1,0
73,12/27/24 8:33,1,0
73,12/27/24 8:33,1,0
73,12/27/24 8:33,1,0
73,12/27/24 8:33,1,0
73,12/27/24 18:00,1,1
73,12/28/24 8:42,1,0
73,12/28/24 8:42,1,0
73,12/28/24 8:42,1,0
73,12/28/24 18:02,1,1
73,12/28/24 18:02,1,1
73,12/28/24 18:02,1,1
73,12/29/24 7:33,1,0
73,12/29/24 7:33,1,0
73,12/29/24 7:33,1,0
73,12/29/24 7:33,1,0
73,12/29/24 18:10,1,1
73,12/29/24 18:10,1,1
73,12/29/24 18:10,1,1
73,12/29/24 18:10,1,1
73,1/2/25 7:57,1,0
73,1/2/25 7:58,1,0
73,1/2/25 7:58,1,0
73,1/2/25 18:02,1,1
73,1/2/25 18:02,1,1
73,1/2/25 18:02,1,1
73,1/3/25 6:54,1,0
73,1/3/25 6:54,1,0
73,1/3/25 6:54,1,0
73,1/3/25 18:00,1,1
73,1/3/25 18:00,1,1
73,1/4/25 9:14,1,0
73,1/4/25 9:14,1,0
73,1/4/25 9:14,1,0
73,1/4/25 9:14,1,0
73,1/4/25 18:05,1,1
73,1/4/25 18:05,1,1
73,1/4/25 18:05,1,1
73,1/4/25 18:05,1,1
73,1/4/25 18:05,1,1
73,1/4/25 18:05,1,1
8,1/3/25 17:31,1,1
82,12/28/24 7:59,1,0
82,12/28/24 7:59,1,0
82,12/28/24 17:14,1,1
82,12/28/24 17:14,1,1
82,1/3/25 17:37,1,1
82,1/3/25 17:38,1,1
82,1/4/25 8:07,1,0
82,1/4/25 8:07,1,0
82,1/4/25 17:30,1,1
82,1/4/25 17:30,1,1
89,12/20/24 8:00,1,0
9,12/20/24 9:32,1,0
9,12/20/24 9:32,1,0
9,12/20/24 17:00,1,1
9,12/20/24 17:00,1,1
9,12/28/24 12:14,1,0
9,12/28/24 12:14,1,0
9,12/28/24 17:36,1,1
9,12/29/24 11:37,1,0
9,12/29/24 15:08,1,1
9,1/3/25 11:09,1,0
9,1/3/25 11:09,1,0
9,1/3/25 17:29,1,1
9,1/4/25 12:05,1,0
9,1/4/25 20:03,1,1
90,12/20/24 7:57,1,0
90,12/20/24 7:57,1,0
90,12/20/24 7:57,1,0
90,12/27/24 9:46,1,0
90,12/27/24 9:46,1,0
90,12/27/24 9:46,1,0
90,12/27/24 19:00,1,1
90,12/27/24 19:00,1,1
90,12/28/24 9:27,1,0
90,12/28/24 9:27,1,0
90,12/28/24 9:27,1,0
90,12/28/24 18:08,1,1
90,12/28/24 18:08,1,1
90,12/28/24 18:08,1,1
90,1/3/25 7:57,1,0
90,1/3/25 7:57,1,0
90,1/3/25 7:57,1,0
90,1/3/25 17:34,1,1
90,1/3/25 17:34,1,1
90,1/3/25 17:34,1,1
90,1/4/25 7:57,1,0
90,1/4/25 7:57,1,0
90,1/4/25 7:57,1,0
90,1/4/25 17:09,1,1
90,1/4/25 17:09,1,1
90,1/4/25 17:10,1,1
92,12/20/24 7:59,1,0
92,12/20/24 7:59,1,0
92,12/20/24 7:59,1,0
92,12/20/24 12:00,1,1
92,12/20/24 12:00,1,1
92,12/27/24 8:49,1,0
92,12/27/24 8:49,1,0
92,12/27/24 8:49,1,0
92,12/27/24 18:00,1,1
92,12/27/24 18:00,1,1
92,12/28/24 9:03,1,0
92,12/28/24 9:03,1,0
92,12/28/24 18:03,1,1
92,12/28/24 18:03,1,1
92,1/4/25 8:02,1,0
92,1/4/25 8:02,1,0
92,1/4/25 16:05,1,1
92,1/4/25 16:05,1,1
94,1/2/25 8:20,1,0
94,1/2/25 8:20,1,0
94,1/4/25 9:08,1,0
94,1/4/25 9:08,1,0
